SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.002
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.004
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.002
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.002
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
SCRAPING TIMING | stage=category_discovery | categories=24 | seconds=2.812
SCRAPING TIMING | stage=run_start | categories=24
SCRAPING TIMING | category=Articulos De Antiestres | products=25 | seconds=64.008
SCRAPING TIMING | category=Articulos De Escritorio | products=25 | seconds=56.680
SCRAPING TIMING | category=Articulos De Oficina | products=12 | seconds=26.720
SCRAPING TIMING | category=Articulos De Playa | products=5 | seconds=14.244
SCRAPING TIMING | category=Articulos Personales | products=17 | seconds=36.887
SCRAPING TIMING | category=Bolsas Mochilas | products=3 | seconds=8.686
SCRAPING TIMING | category=Cocina Mesa Y Hogar | products=18 | seconds=36.897
SCRAPING TIMING | category=Enmicadoras Laminadoras | products=9 | seconds=20.185
SCRAPING TIMING | category=Estuches | products=8 | seconds=19.193
SCRAPING TIMING | category=Impresoras Y Consumible Fotograficas Termicas | products=14 | seconds=32.651
SCRAPING TIMING | category=Insumos De Sublimacion | products=25 | seconds=56.729
SCRAPING TIMING | category=Jarros Mug | products=19 | seconds=42.384
SCRAPING TIMING | category=Kits De Herramientas | products=2 | seconds=7.539
SCRAPING TIMING | category=Lapiceros Ecologicos | products=4 | seconds=10.587
SCRAPING TIMING | category=Lapiceros Metalicos | products=10 | seconds=22.632
